APP name,Cores,Warps,Threads,instrs,cycles,ipc,core_usage_rate,thread occupancy,alu_ratio,fpu_ratio,lsu_ratio,sfu_ratio,issue_stalls,stall_alu_ratio,stall_fpu_ratio,stall_lsu_ratio,stall_sfu_ratio,alu_instrs,fpu_instrs,sfu_instrs,lsu_instrs,loads,stores,split_instrs,avg_cycles,L2,Mapping,FLOP/BYTE
psort,16,2,4,4027456166,542393540,7.43,100%,81%,57%,10%,7%,27%,2826747894,43%,33%,22%,0%,2282313765,402661376,1073946564,268535053,67143817,45332,402666000,542303839,0,CM,0.0937
psort,16,2,8,3364512641,285661975,11.78,100%,79%,68%,12%,4%,16%,1454842913,42%,33%,24%,0%,2282634699,402661376,544916217,134300941,67161737,56852,203267704,285539060,0,CM,0.0937
psort,16,2,16,3030137137,154816644,19.57,100%,76%,75%,13%,2%,9%,771460101,40%,31%,28%,0%,2282522675,402661376,277769767,67183911,67197595,79900,102957423,154634115,0,CM,0.0936
psort,16,2,32,2858618265,85615566,33.39,100%,76%,80%,14%,1%,5%,431181063,36%,28%,35%,0%,2282651209,402661376,139680915,33625357,67269257,125972,51670151,85577844,0,CM,0.0935
psort,16,4,2,4037752830,592096310,6.82,100%,87%,57%,10%,7%,27%,3875629722,34%,32%,32%,0%,2289178133,402661376,1077378828,268535085,134259081,45364,402666096,591390153,0,CM,0.0469
psort,16,4,4,4032850902,318742834,12.65,100%,81%,57%,10%,7%,27%,1923904681,35%,33%,31%,0%,2285884613,402661376,1075721780,268583725,67161737,56884,402670576,318204954,0,CM,0.0937
psort,16,4,8,3366704944,164919702,20.41,100%,79%,68%,12%,4%,16%,1065203790,34%,34%,31%,0%,2284090133,402661376,545604414,134349613,67197577,79924,203272280,164417380,0,CM,0.0936
psort,16,4,16,3031086967,87127994,34.79,100%,76%,75%,13%,2%,9%,633628024,33%,33%,32%,0%,2283188877,402661376,278004723,67232583,67269275,126012,102961999,86856084,0,CM,0.0935
psort,16,4,32,2858835335,88154408,32.43,100%,76%,80%,14%,1%,5%,465887907,33%,26%,40%,0%,2282881127,402661376,139631670,33661754,67388050,218168,51672679,88119435,0,CM,0.0934
psort,16,8,2,4032140564,578427154,6.97,100%,87%,57%,10%,7%,27%,127666950,3%,7%,89%,0%,2285410937,402661376,1075485054,268583789,134283401,56948,402670768,578053391,0,CM,0.0469
psort,16,8,4,4029908789,311232210,12.95,100%,81%,57%,10%,7%,27%,34152277,6%,8%,84%,0%,2283871919,402661376,1074695017,268681069,67197577,79988,402679728,310898942,0,CM,0.0936
psort,16,8,8,3365609949,159834690,21.06,100%,79%,68%,12%,4%,16%,9403743,14%,11%,73%,0%,2283347933,402661376,545154262,134446970,67269266,126072,203281432,159569275,0,CM,0.0935
psort,16,8,16,3031387354,88701150,34.18,100%,76%,75%,13%,2%,9%,374063708,35%,26%,38%,0%,2283441445,402661376,277979800,67305325,67388041,218228,102967055,88458750,0,CM,0.0934
psort,16,8,32,2859665476,91209404,31.35,100%,76%,80%,14%,1%,5%,315185929,24%,16%,59%,0%,2283604965,402661376,139665205,33734522,67625618,402552,51677735,91162490,0,CM,0.0930
psort,16,16,2,4028655363,577338146,6.98,100%,87%,57%,10%,7%,27%,8588601,8%,7%,83%,0%,2283036099,402661376,1074277283,268681197,134332041,80116,402680112,576771971,0,CM,0.0468
psort,16,16,4,4028661024,310652954,12.97,100%,81%,57%,10%,7%,27%,3185269,13%,6%,80%,0%,2282937505,402661376,1074186978,268875757,67269257,126196,402698032,310343641,0,CM,0.0935
psort,16,16,8,3365897094,160187677,21.01,100%,79%,68%,12%,4%,16%,30429948,2%,1%,96%,0%,2283525881,402661376,545117936,134592493,67388041,218356,203291544,159942501,0,CM,0.0934
psort,16,16,16,3032334607,92324306,32.84,100%,76%,75%,13%,2%,9%,269767785,24%,14%,61%,0%,2284177565,402661376,278045384,67450874,67625618,402680,102977167,92033738,0,CM,0.0930
psort,16,16,32,2861384255,96607084,29.62,100%,76%,80%,14%,1%,5%,332460443,9%,5%,85%,0%,2285091639,402661376,139751774,33880058,68100754,771320,51687847,96558605,0,CM,0.0924
psort,16,32,2,4028523752,576699338,6.99,100%,87%,57%,10%,7%,27%,1597814,6%,3%,89%,0%,2282845617,402661376,1074141338,268876013,134429321,126452,402698800,576604794,0,CM,0.0468
psort,16,32,4,4029702001,311154706,12.95,100%,81%,57%,10%,7%,27%,23370893,1%,0%,98%,0%,2283486423,402661376,1074387965,269166829,67388041,218612,402718256,310847389,0,CM,0.0934
psort,16,32,8,3367488353,161614850,20.84,100%,79%,68%,12%,4%,16%,84457056,0%,0%,98%,0%,2284559755,402661376,545384249,134883565,67625609,402932,203311768,161163332,0,CM,0.0930
psort,16,32,16,3034218236,100824962,30.09,100%,76%,75%,13%,2%,9%,306040222,7%,6%,85%,0%,2285642555,402661376,278172951,67741946,68100754,771576,102997391,100476558,0,CM,0.0924
psort,16,32,32,2865157891,111201576,25.77,100%,75%,80%,14%,1%,5%,550697686,1%,1%,96%,0%,2288289039,402661376,140036938,34171130,69051026,1508856,51708071,111115856,0,CM,0.0911
psort,2,2,4,4026918825,3783059678,1.06,100%,92%,57%,10%,7%,27%,2820666830,45%,32%,22%,0%,2281979088,402661376,1073800374,268478061,67128189,20494,402662466,3783011564,0,TM,0.0937
psort,2,2,8,3384610709,1963531407,1.72,100%,90%,67%,12%,4%,17%,1455632016,43%,31%,25%,0%,2281986102,402661376,565722940,134240365,67128345,20622,208532047,1963436711,0,TM,0.0937
psort,2,2,16,3032019415,1178860620,2.57,100%,79%,75%,13%,2%,9%,778840723,40%,31%,28%,0%,2282046780,402661376,280189816,67121517,67128657,20878,103587098,1178811409,0,TM,0.0937
psort,2,2,32,2856196550,679623584,4.20,100%,76%,80%,14%,1%,5%,430633190,36%,28%,34%,0%,2282121510,402661376,137851645,33562093,67129281,21390,51217887,679563570,0,TM,0.0937
psort,2,4,2,4029580997,3750686494,1.07,100%,97%,57%,10%,7%,27%,5826628094,42%,30%,27%,0%,2283753860,402661376,1074687770,268478065,134237977,20498,402662478,3749488016,0,TM,0.0469
psort,2,4,4,4028187051,1905252802,2.11,100%,95%,57%,10%,7%,27%,2921338657,42%,30%,27%,0%,2282824588,402661376,1074222728,268478433,67128345,20626,402662526,1905196634,0,TM,0.0937
psort,2,4,8,3366042919,1130370924,2.98,100%,82%,68%,12%,4%,16%,1517481901,40%,31%,28%,0%,2282929064,402661376,546211816,134240737,67128657,20882,203537088,1130279959,0,TM,0.0937
psort,2,4,16,3025021015,635955710,4.76,100%,77%,75%,13%,2%,9%,800490244,38%,30%,30%,0%,2282464656,402661376,272773168,67121889,67129281,21394,101682130,635881989,0,TM,0.0937
psort,2,4,32,2857591856,362822760,7.88,100%,75%,80%,14%,1%,5%,439320092,35%,28%,36%,0%,2282263514,402661376,139104575,33562465,67130529,22418,51517985,362803972,0,TM,0.0937
psort,2,8,2,4034271265,2128462118,1.90,100%,98%,57%,10%,7%,27%,2285274340,40%,28%,31%,0%,2286880716,402661376,1076250806,268478441,134238161,20634,402662550,2128455296,0,TM,0.0469
psort,2,8,4,4031617806,1246503586,3.23,100%,84%,57%,10%,7%,27%,1160112118,40%,29%,30%,0%,2285111790,402661376,1075365537,268479177,67128657,20890,402662646,1246450985,0,TM,0.0937
psort,2,8,8,3361145606,673845032,4.99,100%,79%,68%,12%,4%,16%,644105061,38%,29%,31%,0%,2283509778,402661376,540733045,134241481,67129281,21402,202096488,673824579,0,TM,0.0937
psort,2,8,16,3028961808,360141284,8.41,100%,76%,75%,13%,2%,9%,369462045,37%,27%,34%,0%,2282651474,402661376,276526399,67122633,67130529,22426,102603527,360138480,0,TM,0.0937
psort,2,8,32,2857545651,421458793,6.78,50%,48%,80%,14%,1%,5%,226777875,36%,25%,37%,0%,2282236374,402661376,139085397,33562578,67131037,22919,51518064,210746974,0,TM,0.0937
psort,2,16,2,4030562072,2367335602,1.70,100%,86%,57%,10%,7%,27%,84943961,6%,10%,82%,0%,2284407942,402661376,1075013635,268479193,134238529,20906,402662694,2367082528,0,TM,0.0469
