C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs,occupancy_width,occupancy_depth,total_occupancy,greedy_thruput_desired_depth,temp_diff
2,2,32,32,16,0,CM,128,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
4,2,2,4,16,0,CM,16,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
4,2,4,8,16,0,CM,32,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
4,2,8,16,16,0,CM,64,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
4,2,16,32,16,0,CM,128,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
4,2,32,64,16,0,CM,256,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
8,2,2,8,32,0,CM,32,1.0,0.998721881390593,0.998721881390593,40.0,38.0
8,2,4,16,32,0,CM,64,1.0,0.998721881390593,0.998721881390593,40.0,38.0
8,2,8,32,32,0,CM,128,1.0,0.998721881390593,0.998721881390593,40.0,38.0
8,2,16,64,32,0,CM,256,1.0,0.998721881390593,0.998721881390593,40.0,38.0
16,2,2,16,64,0,CM,64,1.0,0.9966836734693878,0.9966836734693878,40.0,38.0
16,2,4,32,64,0,CM,128,1.0,0.9966836734693878,0.9966836734693878,40.0,38.0
16,2,8,64,64,0,CM,256,1.0,0.9966836734693878,0.9966836734693878,40.0,38.0
2,2,2,2,16,1,CM,8,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
2,2,4,4,16,1,CM,16,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
2,2,8,8,16,1,CM,32,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
2,2,16,16,16,1,CM,64,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
2,2,32,32,16,1,CM,128,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
4,2,2,4,16,1,CM,16,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
4,2,4,8,16,1,CM,32,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
4,2,8,16,16,1,CM,64,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
4,2,16,32,16,1,CM,128,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
4,2,32,64,16,1,CM,256,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
8,2,2,8,32,1,CM,32,1.0,0.998721881390593,0.998721881390593,40.0,38.0
8,2,4,16,32,1,CM,64,1.0,0.998721881390593,0.998721881390593,40.0,38.0
8,2,8,32,32,1,CM,128,1.0,0.998721881390593,0.998721881390593,40.0,38.0
8,2,16,64,32,1,CM,256,1.0,0.998721881390593,0.998721881390593,40.0,38.0
16,2,2,16,64,1,CM,64,1.0,0.9966836734693878,0.9966836734693878,40.0,38.0
16,2,4,32,64,1,CM,128,1.0,0.9966836734693878,0.9966836734693878,40.0,38.0
16,2,8,64,64,1,CM,256,1.0,0.9966836734693878,0.9966836734693878,40.0,38.0
2,2,2,2,16,2,CM,8,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
2,2,4,4,16,2,CM,16,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
2,2,8,8,16,2,CM,32,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
2,2,16,16,16,2,CM,64,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
2,2,32,32,16,2,CM,128,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
4,2,2,4,16,2,CM,16,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
4,2,4,8,16,2,CM,32,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
4,2,8,16,16,2,CM,64,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
4,2,16,32,16,2,CM,128,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
4,2,32,64,16,2,CM,256,1.0,0.9997441146366428,0.9997441146366428,40.0,38.0
8,2,2,8,32,2,CM,32,1.0,0.998721881390593,0.998721881390593,40.0,38.0
8,2,4,16,32,2,CM,64,1.0,0.998721881390593,0.998721881390593,40.0,38.0
8,2,8,32,32,2,CM,128,1.0,0.998721881390593,0.998721881390593,40.0,38.0
8,2,16,64,32,2,CM,256,1.0,0.998721881390593,0.998721881390593,40.0,38.0
16,2,2,16,64,2,CM,64,1.0,0.9966836734693878,0.9966836734693878,40.0,38.0
16,2,4,32,64,2,CM,128,1.0,0.9966836734693878,0.9966836734693878,40.0,38.0
16,2,8,64,64,2,CM,256,1.0,0.9966836734693878,0.9966836734693878,40.0,38.0
