C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs,occupancy_width,occupancy_depth,total_occupancy,greedy_thruput_desired_depth
4,4,2,8,16,0,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,80.0
2,4,4,8,16,2,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,80.0
4,2,4,8,16,0,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,40.0
8,2,2,8,32,0,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,40.0
8,2,2,8,32,1,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,40.0
4,4,2,8,16,1,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,80.0
4,2,4,8,16,1,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,40.0
2,4,4,8,16,0,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,80.0
2,4,4,8,16,1,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,80.0
2,2,32,32,16,1,TM,128,0.9997441146366428,0.9919354838709677,0.9916816620992506,40.0
2,2,32,32,16,0,TM,128,0.9997441146366428,0.9919354838709677,0.9916816620992506,40.0
2,2,32,32,16,2,TM,128,0.9997441146366428,0.9919354838709677,0.9916816620992506,40.0
2,8,2,8,16,2,TM,16,0.998721881390593,0.9928861788617886,0.9916171525595624,80.0
2,8,2,8,16,1,TM,16,0.998721881390593,0.9928861788617886,0.9916171525595624,80.0
2,8,2,8,16,0,TM,16,0.998721881390593,0.9928861788617886,0.9916171525595624,80.0
2,4,16,32,16,1,TM,128,0.9997441146366428,0.9879032258064516,0.9876504358305545,80.0
2,2,16,16,16,0,TM,64,0.9997441146366428,0.9879032258064516,0.9876504358305545,40.0
2,2,16,16,16,1,TM,64,0.9997441146366428,0.9879032258064516,0.9876504358305545,40.0
2,4,16,32,16,2,TM,128,0.9997441146366428,0.9879032258064516,0.9876504358305545,80.0
4,2,16,32,16,0,TM,128,0.9997441146366428,0.9879032258064516,0.9876504358305545,40.0
2,2,16,16,16,2,TM,64,0.9997441146366428,0.9879032258064516,0.9876504358305545,40.0
4,2,16,32,16,1,TM,128,0.9997441146366428,0.9879032258064516,0.9876504358305545,40.0
2,4,16,32,16,0,TM,128,0.9997441146366428,0.9879032258064516,0.9876504358305545,80.0
4,2,16,32,16,2,TM,128,0.9997441146366428,0.9879032258064516,0.9876504358305545,40.0
4,2,8,16,16,0,TM,64,0.9997441146366428,0.9858870967741935,0.9856348226962063,40.0
4,2,8,16,16,2,TM,64,0.9997441146366428,0.9858870967741935,0.9856348226962063,40.0
4,4,8,32,16,0,TM,128,0.9997441146366428,0.9858870967741935,0.9856348226962063,80.0
8,2,8,32,32,0,TM,128,0.9997441146366428,0.9858870967741935,0.9856348226962063,40.0
4,4,8,32,16,1,TM,128,0.9997441146366428,0.9858870967741935,0.9856348226962063,80.0
8,2,8,32,32,2,TM,128,0.9997441146366428,0.9858870967741935,0.9856348226962063,40.0
8,2,8,32,32,1,TM,128,0.9997441146366428,0.9858870967741935,0.9856348226962063,40.0
4,4,8,32,16,2,TM,128,0.9997441146366428,0.9858870967741935,0.9856348226962063,80.0
4,2,8,16,16,1,TM,64,0.9997441146366428,0.9858870967741935,0.9856348226962063,40.0
2,4,8,16,16,0,TM,64,0.9997441146366428,0.9858870967741935,0.9856348226962063,80.0
2,4,8,16,16,2,TM,64,0.9997441146366428,0.9858870967741935,0.9856348226962063,80.0
2,4,8,16,16,1,TM,64,0.9997441146366428,0.9858870967741935,0.9856348226962063,80.0
8,4,4,32,32,1,TM,128,0.9997441146366428,0.9848790322580645,0.9846270161290323,80.0
8,2,4,16,32,0,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,40.0
8,4,2,16,32,0,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,80.0
8,4,4,32,32,0,TM,128,0.9997441146366428,0.9848790322580645,0.9846270161290323,80.0
16,2,4,32,64,1,TM,128,0.9997441146366428,0.9848790322580645,0.9846270161290323,40.0
2,8,8,32,16,0,TM,64,0.998721881390593,0.9858870967741935,0.9846270161290323,80.0
16,2,2,16,64,1,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,40.0
8,4,2,16,32,1,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,80.0
8,2,4,16,32,1,TM,64,0.9997441146366428,0.9848790322580645,0.9846270161290323,40.0
